name,drug_class,drugbank_id,Real_Vina_Docking_Score_kcal_mol,Pose_File,Log_File
Cytarabine,Antimetabolite,DB00503,-4.926,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Cytarabine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Cytarabine_vina.log
Vinorelbine,Vinca Alkaloid,DB00361,-4.951,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Vinorelbine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Vinorelbine_vina.log
Ixabepilone,Epothilone,DB04845,-3.906,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Ixabepilone_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Ixabepilone_vina.log
Eribulin,Halichondrin B Analog,DB08871,-7.733,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Eribulin_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Eribulin_vina.log
Lapatinib,EGFR/HER2 Inhibitor,DB01259,-8.827,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Lapatinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Lapatinib_vina.log
Gefitinib,EGFR Inhibitor,DB00317,-6.775,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Gefitinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Gefitinib_vina.log
Erlotinib,EGFR Inhibitor,DB00530,-6.34,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Erlotinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Erlotinib_vina.log
Afatinib,EGFR Inhibitor,DB08907,-7.234,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Afatinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Afatinib_vina.log
Bemcentinib,AXL Kinase Inhibitor,DB12411,-8.843,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Bemcentinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Bemcentinib_vina.log
Alpelisib,PI3Kalpha Inhibitor,DB12001,-8.009,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Alpelisib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Alpelisib_vina.log
Palbociclib,CDK4/6 Inhibitor,DB09073,-8.169,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Palbociclib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Palbociclib_vina.log
Ribociclib,CDK4/6 Inhibitor,DB09075,-7.705,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Ribociclib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Ribociclib_vina.log
Abemaciclib,CDK4/6 Inhibitor,DB12001,-9.06,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Abemaciclib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Abemaciclib_vina.log
Exatecan,Topoisomerase I Inhibitor / DXd precursor,DB04982,-8.399,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Exatecan_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Exatecan_vina.log
